,0
0,190.463533
1,142.876833
2,113.508990
3,107.327600
4,126.869533
5,123.029785
6,135.957285
7,144.881011
8,158.088652
9,153.853202
10,171.703913
11,164.851270
12,160.730166
13,166.299859
14,171.707957
15,178.325049
16,155.159213
17,160.972338
18,171.650635
19,162.718718
20,130.889769
21,93.676925
22,64.761440
23,63.860789
24,53.471107
25,62.390723
26,80.732518
27,90.042054
28,85.937198
29,82.153395
30,85.906590
31,77.957195
32,97.827186
33,107.906584
34,91.131006
35,97.019945
36,95.906197
37,86.797376
38,70.516673
39,60.469109
40,51.510719
41,68.089575
42,69.991671
43,74.437345
44,71.992065
45,77.908827
46,57.609752
47,25.322723
48,22.366267
49,22.752662
50,20.892424
51,15.248901
52,22.937905
53,20.742107
54,21.681787
55,21.775893
56,19.922454
57,23.465048
58,26.577701
59,23.260697
60,23.991494
61,24.890561
62,24.979187
63,23.167183
64,21.127020
65,25.514180
66,27.761664
67,24.382273
68,26.024237
69,25.135762
70,28.827843
71,22.641759
72,20.270671
73,22.610321
74,22.737650
75,21.906844
76,21.849567
77,21.806842
78,23.659719
79,30.430594
80,25.526525
81,22.483325
82,33.312502
83,36.125202
84,29.168965
85,44.873820
86,51.848927
87,55.685568
88,57.344066
89,81.435721
90,105.510235
91,66.765663
92,50.163094
93,53.290540
94,73.898812
95,48.934118
96,42.034122
97,24.762380
98,23.691882
99,16.506182
100,19.384032
101,14.862803
102,22.806798
103,28.222176
104,36.566178
105,24.439061
106,31.029196
107,42.730174
108,44.847266
109,48.357926
110,52.670802
111,93.127794
112,74.241126
113,104.578443
114,134.628892
115,94.763945
116,134.070756
117,130.204932
118,133.681770
119,48.714327
120,37.235447
121,25.908424
122,23.620830
123,19.351542
124,17.866375
125,18.492683
126,21.289653
127,33.862018
128,37.081160
129,37.782637
130,50.546574
131,48.707013
132,47.954787
133,53.748442
134,47.384490
135,50.887678
136,63.727817
137,104.311098
138,163.636469
139,208.326938
140,197.807467
141,223.028256
142,204.878969
143,300.896373
144,165.020479
145,116.031661
146,98.328104
147,82.140531
148,71.413259
149,65.241637
150,90.545379
151,137.025953
152,159.903048
153,209.156219
154,270.287143
155,205.478653
156,246.905752
157,267.400332
158,220.960713
159,232.783025
160,241.054264
161,239.989418
162,238.951336
163,174.287542
164,177.313258
165,171.743416
166,166.283759
167,175.183046
168,207.860323
169,175.942785
170,161.981418
171,123.522950
172,109.469750
173,94.917787
174,85.134534
175,73.334017
176,65.462296
177,39.678149
178,45.760622
179,46.422578
180,45.647683
181,38.103764
182,33.618668
183,40.530736
184,40.031687
185,49.805298
186,46.816400
187,43.962568
188,62.167799
189,72.339126
190,80.383212
191,65.475885
192,81.674642
193,61.533252
194,39.531261
195,21.249646
196,20.386210
197,21.548584
198,29.160034
199,44.339823
200,65.506849
201,72.433848
202,56.881761
203,67.915937
204,66.256354
205,69.287268
206,86.618206
207,83.547373
208,82.805593
209,66.053136
210,28.050611
211,21.088213
212,17.079782
213,17.453845
214,21.146845
215,17.844298
216,12.112164
217,11.364963
218,10.124078
219,9.945878
220,13.580342
221,13.980370
222,12.317647
223,18.640763
224,20.186718
225,21.486479
226,22.657711
227,10.829696
228,17.843817
229,8.074931
230,7.177161
231,6.771904
232,10.309344
233,13.494278
234,20.479931
235,14.875497
236,9.936236
237,14.699933
238,15.012239
239,30.193709
240,21.479088
241,10.977843
242,4.105159
243,4.629384
244,4.438157
245,9.028920
246,6.842919
247,8.584086
248,14.249693
249,17.698624
250,16.435759
251,16.452474
252,16.403470
253,13.611839
254,16.999628
255,19.127270
256,19.459238
257,25.201489
258,20.211046
259,17.106539
260,16.618011
261,9.984544
262,10.133995
263,5.349339
264,4.773984
265,5.458428
266,4.592199
267,5.442461
268,19.376996
269,21.859394
270,28.216688
271,28.110925
272,31.097419
273,22.064922
274,43.001444
275,47.557047
276,43.636039
277,43.718363
278,35.965857
279,54.451952
280,72.568212
281,94.367219
282,95.005658
